Colaborador,Suggestion ID,Productora,Correction ID,Product ID,Ver PDP,Dominio,Sección,Acción,Atributo,Valor actual,Valor sugerido,URL imagen sugerida,Decision esperada,Decision respondida,Coincide decision,Código esperado,Código respondido,Coincide código,Comentario colaborador,Fecha de accionado,SCRIPT,COLAB,Comentario,TL auditor
SANCJOAQ,Netkel-AOS,Netkel,873309842,MLA45676202,https://www.mercadolibre.com.ar/p/MLA45676202,TREKKING_POLES,attribute,UPDATE,COLOR,Negro 110 cm,Turquesa Metálico 112 cm,,RECHAZO,RECHAZO,SÍ,E-NCP,E-REL,NO,,15/05/2026 10:09:46,OK,NOT OK,,ext_mamincz
SANCJOAQ,Netkel-AOS,Netkel,873309843,MLA45676202,https://www.mercadolibre.com.ar/p/MLA45676202,TREKKING_POLES,title,UPDATE,,Aonijie Bastones De Trail Running Carbono 4 Secciones Color Negro 110 Cm,Aonijie Bastones De Trail Running Carbono 4 Secciones Color Turquesa Metálico 112 cm,,RECHAZO,RECHAZO,SÍ,E-NCP,E-REL,NO,,15/05/2026 10:09:46,OK,NOT OK,,ext_mamincz
NADSOSA,Netkel-ACU,Netkel,907873857,MLA56724473,https://www.mercadolibre.com.ar/p/MLA56724473,BACKPACKS,attribute,UPDATE,COLOR,Blanco,Naranja neón,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:11:02,,,,
NADSOSA,Netkel-ACU,Netkel,907873858,MLA56724473,https://www.mercadolibre.com.ar/p/MLA56724473,BACKPACKS,attribute,UPDATE,FABRIC_DESIGN,Liso,Holográfico,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:11:02,,,,
NADSOSA,Netkel-ACU,Netkel,907873859,MLA56724473,https://www.mercadolibre.com.ar/p/MLA56724473,BACKPACKS,title,UPDATE,,Mochila Urbana Nba Miami Heat Blanca Resistente Portanotebook Escolar Deportiva Hombre Mujer Adolescente 4 Bolsillos Laterales Portabotella Tiras Acolchadas Original Calidad,Mochila Urbana Nba Miami Heat Naranja neón Diseño Holográfico Resistente Portanotebook Escolar Deportiva Hombre Mujer Adolescente 4 Bolsillos Laterales Portabotella Tiras Acolchadas Original Calidad,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:11:02,,,,
NADSOSA,Netkel-ACX,Netkel,494966219,MLA45599553,https://www.mercadolibre.com.ar/p/MLA45599553,TOY_WRISTWATCHES,attribute,UPDATE,COLOR,Azul,Rosado,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,E-DUPA MLA63455724,15/05/2026 10:11:57,,,,
NADSOSA,Netkel-ACX,Netkel,494966220,MLA45599553,https://www.mercadolibre.com.ar/p/MLA45599553,TOY_WRISTWATCHES,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_940860-MLA101803079870_122025-F.jpg,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,E-DUPA MLA63455724,15/05/2026 10:11:57,,,,
NADSOSA,Netkel-ACX,Netkel,494966221,MLA45599553,https://www.mercadolibre.com.ar/p/MLA45599553,TOY_WRISTWATCHES,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_795765-MLA101802990694_122025-F.jpg,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,E-DUPA MLA63455724,15/05/2026 10:11:57,,,,
NADSOSA,Netkel-ACX,Netkel,494966222,MLA45599553,https://www.mercadolibre.com.ar/p/MLA45599553,TOY_WRISTWATCHES,title,UPDATE,,Reloj Proyector Niños Dibujos Animados 24 Imágenes Stitch,Reloj Proyector Niños Dibujos Animados 24 Imágenes Stitch Rosado,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-DUPA,SÍ,E-DUPA MLA63455724,15/05/2026 10:11:57,,,,
ESGUADAL,Netkel-BIF,Netkel,561209234,MLA22931818,https://www.mercadolibre.com.ar/p/MLA22931818,LATEX_ENAMEL_AND_ACRYLIC_PAINTS,attribute,UPDATE,COLOR,Blanco,Turquesa Metálico,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:12:15,,,,
ESGUADAL,Netkel-BIF,Netkel,561209235,MLA22931818,https://www.mercadolibre.com.ar/p/MLA22931818,LATEX_ENAMEL_AND_ACRYLIC_PAINTS,attribute,UPDATE,UNIT_VOLUME,10 L,13 L,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:12:15,,,,
ESGUADAL,Netkel-BIF,Netkel,561209236,MLA22931818,https://www.mercadolibre.com.ar/p/MLA22931818,LATEX_ENAMEL_AND_ACRYLIC_PAINTS,title,UPDATE,,Colorín Decorcryl pintura latex lavable acabado mate color blanco 10L,Colorín Decorcryl pintura latex lavable acabado mate color turquesa metálico 13L,,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:12:16,,,,
ESGUADAL,Netkel-BIF,Netkel,561209237,MLA22931818,https://www.mercadolibre.com.ar/p/MLA22931818,LATEX_ENAMEL_AND_ACRYLIC_PAINTS,description,UPDATE,,"La Pintura Latex Interior Lavable Decorcryl Colorin 10lt es la elección ideal para renovar tus espacios interiores. Este látex interior premium ofrece un excelente poder cubritivo y una alta resistencia al lavado, garantizando una máxima lavabilidad y protección antihongos. Su blancura y delicada terminación mate, junto con su bajo nivel de salpicado, aseguran un acabado impecable. Con un rendimiento de 12 m2 por litro por mano, es perfecta para cubrir grandes superficies. De base acuosa, no es inflamable ni resistente al agua, pero sí es lavable y antihongos. Ideal para paredes, este producto nuevo de la línea Decorcryl de Colorín se seca en 8 horas, brindando resultados duraderos y de alta calidad.","Pintura látex lavable Colorín Decorcryl de acabado mate en color Turquesa Metálico, ideal para renovar ambientes interiores con un tono moderno y llamativo. Presentación de 13 L para cubrir superficies amplias con buena nivelación y fácil aplicación. Su fórmula al agua permite una limpieza práctica y un mantenimiento sencillo.",,RECHAZO,RECHAZO,SÍ,E-NCP,E-NCP,SÍ,,15/05/2026 10:12:16,,,,
SANCJOAQ,Netkel-AOU,Netkel,217377475,MLA32634567,https://www.mercadolibre.com.ar/p/MLA32634567,PATIO_FURNITURE_KITS,attribute,UPDATE,STRUCTURE_COLOR,Negro,Gris oscuro,,RECHAZO,RECHAZO,SÍ,E-DUPA,E-REL,NO,,15/05/2026 10:12:21,NOT OK,OK,"Es correcto rechazar el atributo y aprobar las imagenes, no se debe rechazar por descarte ya que el seller no quiere mutar el producto, sino que quiere poner un valor incorrecto en color. Esto se valida ya que las imagenes son iguales, y el color gris oscuro pertenece al almohadon",ext_vitofalo
